keyword,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
GAY,0,0,6,64,17,0,0,0,85,0
GAY PRIDE,0,0,357,632,130,226,1041,588,150,44
GAY PRIDE ITEMS,0,0,90,0,0,0,0,177,0,0
LGBT,0,0,48,6,0,0,0,62,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,0,0,0,0,0,0,0,0,0,36
LGBTQ,0,0,0,5,0,139,53,46,106,36
LGBTQ LAPEL PIN,0,0,0,0,0,0,0,129,0,0
PRIDE,0,0,127,1747,608,2509,3925,5083,3820,2694
PRIDE BANDANA,0,0,0,0,6,0,252,99,41,0
PRIDE BITES,0,0,0,0,0,0,0,0,0,0
PRIDE CELEBRATION FAN,0,0,0,0,0,0,0,0,0,67
PRIDE FAN,0,0,0,0,0,0,234,170,319,227
PRIDE FLAG,0,0,19,75,33,257,706,533,457,240
PRIDE GIVEAWAY,0,0,0,0,0,0,0,0,253,0
PRIDE HAND FANS,0,0,0,0,0,0,0,116,0,38
PRIDE HEADBANDS,0,0,0,0,0,0,0,0,0,0
PRIDE ITEMS,0,0,0,0,77,40,85,83,0,61
PRIDE MONTH,0,0,0,0,13,149,124,0,494,77
PRIDE PEN,0,0,0,0,0,0,0,0,0,35
PRIDE PINS,0,0,0,0,0,0,0,0,0,39
PRIDE RAINBOW,0,0,0,0,0,0,424,0,0,0
PRIDE SLIDES,0,0,0,0,0,0,0,0,0,0
PRIDE SUNGLASSES,0,0,0,0,0,0,330,225,184,43
PRIDE WRIST STRAP,0,0,0,0,0,0,0,0,0,72
RAINBOW GAY PRIDE,0,0,32,0,104,0,0,0,0,0
RAINBOW PRIDE,0,0,42,904,17,402,52,877,57,49
TRANS PRIDE COFFEE,0,0,0,0,168,0,0,0,0,0
