keyword,year,value
GAY,2016,0
GAY,2017,0
GAY,2018,6
GAY,2019,64
GAY,2020,17
GAY,2021,0
GAY,2022,0
GAY,2023,0
GAY,2024,85
GAY,2025,0
GAY PRIDE,2016,0
GAY PRIDE,2017,0
GAY PRIDE,2018,357
GAY PRIDE,2019,632
GAY PRIDE,2020,130
GAY PRIDE,2021,226
GAY PRIDE,2022,1041
GAY PRIDE,2023,588
GAY PRIDE,2024,150
GAY PRIDE,2025,44
GAY PRIDE ITEMS,2016,0
GAY PRIDE ITEMS,2017,0
GAY PRIDE ITEMS,2018,90
GAY PRIDE ITEMS,2019,0
GAY PRIDE ITEMS,2020,0
GAY PRIDE ITEMS,2021,0
GAY PRIDE ITEMS,2022,0
GAY PRIDE ITEMS,2023,177
GAY PRIDE ITEMS,2024,0
GAY PRIDE ITEMS,2025,0
LGBT,2016,0
LGBT,2017,0
LGBT,2018,48
LGBT,2019,6
LGBT,2020,0
LGBT,2021,0
LGBT,2022,0
LGBT,2023,62
LGBT,2024,0
LGBT,2025,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2016,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2017,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2018,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2019,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2020,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2021,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2022,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2023,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2024,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2025,36
LGBTQ,2016,0
LGBTQ,2017,0
LGBTQ,2018,0
LGBTQ,2019,5
LGBTQ,2020,0
LGBTQ,2021,139
LGBTQ,2022,53
LGBTQ,2023,46
LGBTQ,2024,106
LGBTQ,2025,36
LGBTQ LAPEL PIN,2016,0
LGBTQ LAPEL PIN,2017,0
LGBTQ LAPEL PIN,2018,0
LGBTQ LAPEL PIN,2019,0
LGBTQ LAPEL PIN,2020,0
LGBTQ LAPEL PIN,2021,0
LGBTQ LAPEL PIN,2022,0
LGBTQ LAPEL PIN,2023,129
LGBTQ LAPEL PIN,2024,0
LGBTQ LAPEL PIN,2025,0
PRIDE,2016,0
PRIDE,2017,0
PRIDE,2018,127
PRIDE,2019,1747
PRIDE,2020,608
PRIDE,2021,2509
PRIDE,2022,3925
PRIDE,2023,5083
PRIDE,2024,3820
PRIDE,2025,2360
PRIDE BANDANA,2016,0
PRIDE BANDANA,2017,0
PRIDE BANDANA,2018,0
PRIDE BANDANA,2019,0
PRIDE BANDANA,2020,6
PRIDE BANDANA,2021,0
PRIDE BANDANA,2022,252
PRIDE BANDANA,2023,99
PRIDE BANDANA,2024,41
PRIDE BANDANA,2025,0
PRIDE BITES,2016,0
PRIDE BITES,2017,0
PRIDE BITES,2018,0
PRIDE BITES,2019,0
PRIDE BITES,2020,0
PRIDE BITES,2021,0
PRIDE BITES,2022,0
PRIDE BITES,2023,0
PRIDE BITES,2024,0
PRIDE BITES,2025,0
PRIDE CELEBRATION FAN,2016,0
PRIDE CELEBRATION FAN,2017,0
PRIDE CELEBRATION FAN,2018,0
PRIDE CELEBRATION FAN,2019,0
PRIDE CELEBRATION FAN,2020,0
PRIDE CELEBRATION FAN,2021,0
PRIDE CELEBRATION FAN,2022,0
PRIDE CELEBRATION FAN,2023,0
PRIDE CELEBRATION FAN,2024,0
PRIDE CELEBRATION FAN,2025,67
PRIDE FAN,2016,0
PRIDE FAN,2017,0
