keyword,year,category
Gay,2016,Zero
Gay,2017,Zero
Gay,2018,>0–100
Gay,2019,>0–100
Gay,2020,>0–100
Gay,2021,Zero
Gay,2022,Zero
Gay,2023,Zero
Gay,2024,>0–100
Gay,2025,Zero
Gay pride,2016,Zero
Gay pride,2017,Zero
Gay pride,2018,100–500
Gay pride,2019,500–1000
Gay pride,2020,100–500
Gay pride,2021,100–500
Gay pride,2022,1000–2000
Gay pride,2023,500–1000
Gay pride,2024,100–500
Gay pride,2025,>0–100
Gay pride items,2016,Zero
Gay pride items,2017,Zero
Gay pride items,2018,>0–100
Gay pride items,2019,Zero
Gay pride items,2020,Zero
Gay pride items,2021,Zero
Gay pride items,2022,Zero
Gay pride items,2023,100–500
Gay pride items,2024,Zero
Gay pride items,2025,Zero
Lgbt,2016,Zero
Lgbt,2017,Zero
Lgbt,2018,>0–100
Lgbt,2019,>0–100
Lgbt,2020,Zero
Lgbt,2021,Zero
Lgbt,2022,Zero
Lgbt,2023,>0–100
Lgbt,2024,Zero
Lgbt,2025,Zero
Lgbt rainbow pride hand folding fan,2016,Zero
Lgbt rainbow pride hand folding fan,2017,Zero
Lgbt rainbow pride hand folding fan,2018,Zero
Lgbt rainbow pride hand folding fan,2019,Zero
Lgbt rainbow pride hand folding fan,2020,Zero
Lgbt rainbow pride hand folding fan,2021,Zero
Lgbt rainbow pride hand folding fan,2022,Zero
Lgbt rainbow pride hand folding fan,2023,Zero
Lgbt rainbow pride hand folding fan,2024,Zero
Lgbt rainbow pride hand folding fan,2025,>0–100
Lgbtq,2016,Zero
Lgbtq,2017,Zero
Lgbtq,2018,Zero
Lgbtq,2019,>0–100
Lgbtq,2020,Zero
Lgbtq,2021,100–500
Lgbtq,2022,>0–100
Lgbtq,2023,>0–100
Lgbtq,2024,100–500
Lgbtq,2025,>0–100
Lgbtq lapel pin,2016,Zero
Lgbtq lapel pin,2017,Zero
Lgbtq lapel pin,2018,Zero
Lgbtq lapel pin,2019,Zero
Lgbtq lapel pin,2020,Zero
Lgbtq lapel pin,2021,Zero
Lgbtq lapel pin,2022,Zero
