keyword,year,value,index
GAY,2016,0,0
GAY,2017,0,0
GAY,2018,6,7.0588235294117645
GAY,2019,64,75.29411764705883
GAY,2020,17,20
GAY,2021,0,0
GAY,2022,0,0
GAY,2023,0,0
GAY,2024,85,100
GAY,2025,0,0
GAY PRIDE,2016,0,0
GAY PRIDE,2017,0,0
GAY PRIDE,2018,357,34.293948126801155
GAY PRIDE,2019,632,60.71085494716618
GAY PRIDE,2020,130,12.487992315081652
GAY PRIDE,2021,226,21.709894332372716
GAY PRIDE,2022,1041,100
GAY PRIDE,2023,588,56.48414985590778
GAY PRIDE,2024,150,14.409221902017292
GAY PRIDE,2025,44,4.226705091258405
GAY PRIDE ITEMS,2016,0,0
GAY PRIDE ITEMS,2017,0,0
GAY PRIDE ITEMS,2018,90,50.847457627118644
GAY PRIDE ITEMS,2019,0,0
GAY PRIDE ITEMS,2020,0,0
GAY PRIDE ITEMS,2021,0,0
GAY PRIDE ITEMS,2022,0,0
GAY PRIDE ITEMS,2023,177,100
GAY PRIDE ITEMS,2024,0,0
GAY PRIDE ITEMS,2025,0,0
LGBT,2016,0,0
LGBT,2017,0,0
LGBT,2018,48,77.41935483870968
LGBT,2019,6,9.67741935483871
LGBT,2020,0,0
LGBT,2021,0,0
LGBT,2022,0,0
LGBT,2023,62,100
LGBT,2024,0,0
LGBT,2025,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2016,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2017,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2018,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2019,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2020,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2021,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2022,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2023,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2024,0,0
LGBT RAINBOW PRIDE HAND FOLDING FAN,2025,36,100
LGBTQ,2016,0,0
LGBTQ,2017,0,0
LGBTQ,2018,0,0
LGBTQ,2019,5,3.5971223021582732
LGBTQ,2020,0,0
LGBTQ,2021,139,100
LGBTQ,2022,53,38.1294964028777
LGBTQ,2023,46,33.093525179856115
LGBTQ,2024,106,76.2589928057554
LGBTQ,2025,36,25.899280575539567
LGBTQ LAPEL PIN,2016,0,0
LGBTQ LAPEL PIN,2017,0,0
LGBTQ LAPEL PIN,2018,0,0
LGBTQ LAPEL PIN,2019,0,0
LGBTQ LAPEL PIN,2020,0,0
LGBTQ LAPEL PIN,2021,0,0
LGBTQ LAPEL PIN,2022,0,0
LGBTQ LAPEL PIN,2023,129,100
LGBTQ LAPEL PIN,2024,0,0
LGBTQ LAPEL PIN,2025,0,0
PRIDE,2016,0,0
PRIDE,2017,0,0
PRIDE,2018,127,2.4985244934094037
PRIDE,2019,1747,34.369466850285264
PRIDE,2020,608,11.96144009443242
PRIDE,2021,2509,49.36061381074169
PRIDE,2022,3925,77.21817824119614
PRIDE,2023,5083,100
PRIDE,2024,3820,75.1524690143616
PRIDE,2025,2360,46.42927405075742
PRIDE BANDANA,2016,0,0
PRIDE BANDANA,2017,0,0
PRIDE BANDANA,2018,0,0
PRIDE BANDANA,2019,0,0
PRIDE BANDANA,2020,6,2.380952380952381
PRIDE BANDANA,2021,0,0
PRIDE BANDANA,2022,252,100
PRIDE BANDANA,2023,99,39.285714285714285
PRIDE BANDANA,2024,41,16.26984126984127
PRIDE BANDANA,2025,0,0
PRIDE BITES,2016,0,NA
PRIDE BITES,2017,0,NA
PRIDE BITES,2018,0,NA
PRIDE BITES,2019,0,NA
PRIDE BITES,2020,0,NA
PRIDE BITES,2021,0,NA
PRIDE BITES,2022,0,NA
PRIDE BITES,2023,0,NA
PRIDE BITES,2024,0,NA
PRIDE BITES,2025,0,NA
PRIDE CELEBRATION FAN,2016,0,0
PRIDE CELEBRATION FAN,2017,0,0
PRIDE CELEBRATION FAN,2018,0,0
PRIDE CELEBRATION FAN,2019,0,0
PRIDE CELEBRATION FAN,2020,0,0
PRIDE CELEBRATION FAN,2021,0,0
PRIDE CELEBRATION FAN,2022,0,0
PRIDE CELEBRATION FAN,2023,0,0
PRIDE CELEBRATION FAN,2024,0,0
PRIDE CELEBRATION FAN,2025,67,100
PRIDE FAN,2016,0,0
PRIDE FAN,2017,0,0
PRIDE FAN,2018,0,0
PRIDE FAN,2019,0,0
PRIDE FAN,2020,0,0
PRIDE FAN,2021,0,0
PRIDE FAN,2022,234,73.35423197492163
PRIDE FAN,2023,170,53.29153605015674
PRIDE FAN,2024,319,100
PRIDE FAN,2025,227,71.15987460815047
PRIDE FLAG,2016,0,0
PRIDE FLAG,2017,0,0
PRIDE FLAG,2018,19,2.6912181303116145
PRIDE FLAG,2019,75,10.623229461756374
PRIDE FLAG,2020,33,4.674220963172805
PRIDE FLAG,2021,257,36.40226628895184
PRIDE FLAG,2022,706,100
PRIDE FLAG,2023,533,75.4957507082153
PRIDE FLAG,2024,457,64.73087818696884
PRIDE FLAG,2025,200,28.328611898016998
PRIDE GIVEAWAY,2016,0,0
