keyword,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
GAY,Zero,Zero,>0–100,>0–100,>0–100,Zero,Zero,Zero,>0–100,Zero
GAY PRIDE,Zero,Zero,100–500,500–1000,100–500,100–500,1000–2000,500–1000,100–500,>0–100
GAY PRIDE ITEMS,Zero,Zero,>0–100,Zero,Zero,Zero,Zero,100–500,Zero,Zero
LGBT,Zero,Zero,>0–100,>0–100,Zero,Zero,Zero,>0–100,Zero,Zero
LGBT RAINBOW PRIDE HAND FOLDING FAN,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,>0–100
LGBTQ,Zero,Zero,Zero,>0–100,Zero,100–500,>0–100,>0–100,100–500,>0–100
LGBTQ LAPEL PIN,Zero,Zero,Zero,Zero,Zero,Zero,Zero,100–500,Zero,Zero
PRIDE,Zero,Zero,100–500,1000–2000,500–1000,2000–4000,2000–4000,4000+,2000–4000,2000–4000
PRIDE BANDANA,Zero,Zero,Zero,Zero,>0–100,Zero,100–500,>0–100,>0–100,Zero
PRIDE BITES,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero
PRIDE CELEBRATION FAN,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,>0–100
PRIDE FAN,Zero,Zero,Zero,Zero,Zero,Zero,100–500,100–500,100–500,100–500
PRIDE FLAG,Zero,Zero,>0–100,>0–100,>0–100,100–500,500–1000,500–1000,100–500,100–500
PRIDE GIVEAWAY,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,100–500,Zero
PRIDE HAND FANS,Zero,Zero,Zero,Zero,Zero,Zero,Zero,100–500,Zero,>0–100
PRIDE HEADBANDS,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero
PRIDE ITEMS,Zero,Zero,Zero,Zero,>0–100,>0–100,>0–100,>0–100,Zero,>0–100
PRIDE MONTH,Zero,Zero,Zero,Zero,>0–100,100–500,100–500,Zero,100–500,>0–100
PRIDE PEN,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,>0–100
PRIDE PINS,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,>0–100
PRIDE RAINBOW,Zero,Zero,Zero,Zero,Zero,Zero,100–500,Zero,Zero,Zero
PRIDE SLIDES,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero
PRIDE SUNGLASSES,Zero,Zero,Zero,Zero,Zero,Zero,100–500,100–500,100–500,>0–100
PRIDE WRIST STRAP,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,>0–100
RAINBOW GAY PRIDE,Zero,Zero,>0–100,Zero,100–500,Zero,Zero,Zero,Zero,Zero
RAINBOW PRIDE,Zero,Zero,>0–100,500–1000,>0–100,100–500,>0–100,500–1000,>0–100,>0–100
TRANS PRIDE COFFEE,Zero,Zero,Zero,Zero,100–500,Zero,Zero,Zero,Zero,Zero
